"","Water","TAXON","SIASAM","d13C","d15N","C.N","RWT","d13C_pel","d15N_pel","d13C_lit","d15N_lit","length","length_mean","length_sd","Water2","d13C_norm","p_lit","adjp_lit","p_litnorm","mean.pl","sd.pl","mean.adjpl","sd.adjpl","tp_2","mean.tp2","sd.tp2"
"1","Baby Lk.","CCHUB",11017,-25.95,5.48,3.46,18,-30.69,1.85,-28.08,3.6,110,93,21.3658606192215,"Barren Lake",-25.8446,1.85647509578544,1,NA,1.91763218390804,0.267835081737861,1,0,2.55294117647059,2.64411764705882,0.18234108120825
"2","Baby Lk.","CCHUB",11018,-26.52,6.8,3.44,3,-30.69,1.85,-28.08,3.6,64,93,21.3658606192215,"Barren Lake",-26.4344,1.63049808429119,1,NA,1.91763218390804,0.267835081737861,1,0,2.94117647058824,2.64411764705882,0.18234108120825
"3","Baby Lk.","CCHUB",11019,-26.33,5.83,3.46,5,-30.69,1.85,-28.08,3.6,79,93,21.3658606192215,"Barren Lake",-26.2246,1.71088122605364,1,NA,1.91763218390804,0.267835081737861,1,0,2.65588235294118,2.64411764705882,0.18234108120825
"4","Baby Lk.","CCHUB",11015,-24.92,5.15,3.43,24,-30.69,1.85,-28.08,3.6,115,93,21.3658606192215,"Barren Lake",-24.8443,2.23973180076628,1,NA,1.91763218390804,0.267835081737861,1,0,2.45588235294118,2.64411764705882,0.18234108120825
"5","Baby Lk.","CCHUB",11016,-25.42,5.69,3.7,11,-30.69,1.85,-28.08,3.6,97,93,21.3658606192215,"Barren Lake",-25.077,2.15057471264368,1,NA,1.91763218390804,0.267835081737861,1,0,2.61470588235294,2.64411764705882,0.18234108120825
"6","Baby Lk.","COSHIN",11005,-27.74,7.1,3.59,6,-30.69,1.85,-28.08,3.6,80,91.8,6.98888005652153,"Barren Lake",-27.5059,1.21996168582375,1,0.924460356778586,0.323655172413794,0.470174223308668,0.374954022988506,0.306911467289992,3.02941176470588,3.36053837052062,0.173503764332628
"7","Baby Lk.","COSHIN",11006,-29.97,7.9,3.45,9,-30.69,1.85,-28.08,3.6,91,91.8,6.98888005652153,"Barren Lake",-29.8745,0.312452107279695,0.312452107279695,0.431423159384693,0.323655172413794,0.470174223308668,0.374954022988506,0.306911467289992,3.61859082713545,3.36053837052062,0.173503764332628
"8","Baby Lk.","COSHIN",11008,-29.98,6.58,3.56,8,-30.69,1.85,-28.08,3.6,86,91.8,6.98888005652153,"Barren Lake",-29.7756,0.350344827586207,0.350344827586207,0.452009741678982,0.323655172413794,0.470174223308668,0.374954022988506,0.306911467289992,3.21085192697769,3.36053837052062,0.173503764332628
"9","Baby Lk.","COSHIN",11009,-30.31,7.13,3.63,9,-30.69,1.85,-28.08,3.6,90,91.8,6.98888005652153,"Barren Lake",-30.0363,0.250459770114944,0.250459770114944,0.397743594013447,0.323655172413794,0.470174223308668,0.374954022988506,0.306911467289992,3.42402805949966,3.36053837052062,0.173503764332628
"10","Baby Lk.","COSHIN",11010,-29.75,7.76,3.78,10,-30.69,1.85,-28.08,3.6,95,91.8,6.98888005652153,"Barren Lake",-29.3278,0.52191570881226,0.52191570881226,0.54522178972128,0.323655172413794,0.470174223308668,0.374954022988506,0.306911467289992,3.46960220869957,3.36053837052062,0.173503764332628
"11","Baby Lk.","COSHIN",11007,-30.15,7.61,3.72,7,-30.69,1.85,-28.08,3.6,84,91.8,6.98888005652153,"Barren Lake",-29.7872,0.345900383141763,0.345900383141763,0.44959513748673,0.323655172413794,0.470174223308668,0.374954022988506,0.306911467289992,3.51608068514762,3.36053837052062,0.173503764332628
